step, arrivals_sum, infringement_sum, reward 
2,0, 2, -21892.282201766968
502,0, 40, -1764701.4652308226
1002,0, 55, -840034.5100163817
1502,0, 72, -1159555.9250774086
2002,0, 93, -1157163.6210360527
2502,0, 93, -700468.9775695205
3002,0, 108, -1273116.5272362828
3502,0, 123, -983679.6513659954
4002,0, 132, -824883.4242781997
4502,0, 180, -1755714.5828156471
5002,0, 192, -1361444.2741742134
5502,0, 480, -7478429.666110992
6002,0, 612, -3864460.914311707
6502,0, 623, -938066.2898270488
7002,0, 711, -2951075.6397057474
7502,0, 793, -2305895.805412203
8002,0, 849, -1406632.2592919394
8502,0, 870, -686109.2834017873
9002,0, 908, -1075703.6374904066
9502,0, 970, -1548935.0317565799
10002,0, 1031, -1564367.8001623154
10502,0, 1091, -1508228.9079580307
11002,0, 1150, -1438071.0528700352
11502,0, 1191, -1102301.0028430074
12002,0, 1258, -1571317.3383359388
12502,0, 1344, -2045262.9729351103
13002,0, 1374, -805425.7118947953
13502,0, 1419, -1169426.9211207628
14002,0, 1452, -916872.2515620291
14502,0, 1506, -1462968.6481171846
15002,0, 1595, -2074728.9153281152
15502,0, 1726, -2978920.021656841
16002,0, 1831, -2409949.2648203075
16502,0, 1875, -1119236.8041096926
17002,0, 1939, -1559696.699531287
17502,0, 1986, -1206328.7397151887
18002,0, 2046, -1486676.6379847229
18502,0, 2109, -1534983.272068575
19002,0, 2176, -1637953.8179054707
19502,0, 2311, -3084784.8780896217
20002,0, 2335, -693292.5919875503
20502,0, 2480, -3380980.549673289
21002,0, 2541, -1592934.170686692
21502,0, 2599, -1462406.1925400067
22002,0, 2640, -1118025.1533411741
22502,0, 2664, -803005.7083656192
23002,0, 2683, -664718.1953830719
23502,0, 2701, -672803.2455507517
24002,0, 2735, -945401.3526593149
24502,0, 2759, -784109.805316776
25002,0, 2802, -1152491.7981424928
25502,0, 2832, -890551.3231212795
26002,0, 2859, -816867.022514075
26502,0, 2917, -1563539.4687298536
27002,0, 2925, -424581.359885931
27502,0, 2931, -439458.5843529105
28002,0, 2937, -435140.5410065353
28502,0, 2992, -1472679.982725203
29002,0, 3003, -512104.61364501715
29502,0, 3011, -505503.71343255043
30002,0, 3019, -399720.2612876594
30502,0, 3028, -491147.36854851246
31002,0, 3035, -455706.32786232233
31502,0, 3052, -703032.6021727622
32002,0, 3062, -485797.40984100103
32502,0, 3068, -392419.207211256
33002,0, 3079, -511575.3393881917
33502,0, 3081, -278127.4299122095
34002,0, 3081, -248993.6227428615
34502,0, 3093, -435090.99591004103
35002,0, 3093, -158047.57414719462
35502,0, 3099, -350028.1523345113
36002,0, 3112, -480991.76022577286
36502,0, 3112, -155650.06900693476
37002,0, 3125, -436118.7171461582
37502,0, 3132, -328248.8287471831
38002,0, 3132, -178049.7205492705
38502,0, 3137, -291280.0598605275
39002,0, 3142, -312330.6477085203
39502,0, 3142, -165918.46431277692
40002,0, 3142, -159784.9959989488
40502,0, 3144, -243105.42432650924
41002,0, 3148, -269287.85905359685
41502,0, 3148, -182963.29773452878
42002,0, 3153, -261425.9940365255
42502,0, 3156, -236775.97293372452
43002,0, 3156, -178028.282117635
43502,0, 3156, -153307.31361214817
44002,0, 3161, -264967.7850444168
44502,0, 3161, -180867.39591115713
45002,0, 3161, -188457.00385525823
45502,0, 3162, -170144.23333601654
46002,0, 3162, -141777.5365664065
46502,0, 3162, -157550.35296100378
47002,0, 3162, -160541.0311908126
47502,0, 3162, -152240.45696094632
48002,0, 3165, -206964.39645335078
48502,0, 3165, -168225.27535241842
49002,0, 3165, -203865.08200904727
49502,0, 3165, -182714.18465778232
50002,0, 3166, -209494.57079648972
50502,0, 3166, -163947.7876007706
51002,0, 3166, -188919.93270540237
51502,0, 3166, -183053.6810027957
52002,0, 3166, -176218.69115006924
52502,0, 3166, -221023.1176584065
53002,0, 3166, -208223.08551725745
53502,0, 3166, -180721.7699174583
54002,0, 3166, -176524.9873503074
54502,0, 3166, -179107.3330553323
55002,0, 3166, -198859.7315417081
55502,0, 3166, -166145.12136645615
56002,0, 3166, -156907.46460051835
56502,0, 3166, -200798.37662896514
57002,0, 3166, -187999.23380346596
57502,0, 3166, -158524.60574391484
58002,0, 3166, -216875.1455924064
58502,0, 3166, -165656.33598053455
59002,0, 3166, -156346.62940095365
59502,0, 3166, -152826.11297349632
60002,0, 3166, -204906.24971035123
60502,0, 3171, -274089.5844238859
61002,0, 3171, -159458.10007430613
61502,0, 3171, -147907.02498289943
62002,0, 3171, -175997.7143200487
62502,0, 3171, -236440.16532947868
63002,0, 3171, -228860.08758711815
63502,0, 3175, -265011.353237018
64002,0, 3175, -183946.82398033142
64502,0, 3175, -178282.8381664753
65002,0, 3176, -215355.90151451528
65502,0, 3176, -167341.51514402032
66002,0, 3181, -267221.1823911071
66502,0, 3181, -154298.66066535562
67002,0, 3181, -177679.60055410862
67502,0, 3185, -262884.92928801477
68002,0, 3188, -221862.1457053572
68502,0, 3188, -193577.52110898495
69002,0, 3188, -202784.85299825668
69502,0, 3188, -187825.84786096215
70002,0, 3195, -304653.6816342175
70502,0, 3205, -343495.85339399986
71002,0, 3211, -321891.31299832463
71502,0, 3215, -263687.3626001328
72002,0, 3222, -358686.03009307384
72502,0, 3224, -254730.8099066913
73002,0, 3229, -343937.25767061114
73502,0, 3243, -464759.1221329048
74002,0, 3243, -176315.75927893817
74502,0, 3249, -325014.8612329811
75002,0, 3262, -528861.8542329967
75502,0, 3263, -260299.28985345364
76002,0, 3263, -229290.33101904392
76502,0, 3263, -257649.63225758076
77002,0, 3270, -368657.49647784233
77502,0, 3277, -345978.46288752556
78002,0, 3277, -228968.11383646727
78502,0, 3280, -273762.14339220524
79002,0, 3283, -347994.8497855067
79502,0, 3287, -267000.66935810447
80002,0, 3308, -614442.7230351493
80502,0, 3315, -364676.92642205814
81002,0, 3318, -232893.02797868848
81502,2, 3321, -220594.8324417621
82002,2, 3324, -228339.85294370353
82502,3, 3326, -180817.79432197474
83002,3, 3326, -154317.8967642784
83502,3, 3326, -161498.9604718089
84002,3, 3326, -141670.67459645867
84502,3, 3337, -397618.456525892
85002,3, 3337, -152750.1250604093
85502,3, 3337, -155599.59740760922
86002,3, 3342, -268742.6751553416
86502,3, 3349, -278130.05602233857
87002,3, 3349, -152016.14734241366
87502,3, 3356, -316118.0483497083
88002,3, 3356, -158363.1730092764
88502,3, 3359, -227737.46773193777
89002,3, 3359, -156045.59257598827
89502,3, 3359, -158389.89696213603
90002,3, 3359, -149015.108846128
90502,3, 3359, -151920.99431931973
91002,3, 3359, -148163.7142444849
91502,3, 3359, -162416.95543822646
92002,3, 3359, -143208.123915717
92502,3, 3361, -186884.05213096738
93002,3, 3361, -162287.27300398052
93502,3, 3368, -303166.879847005
94002,3, 3368, -133350.56818932295
94502,3, 3368, -144689.63742673397
95002,3, 3379, -369176.48135459423
95502,3, 3379, -142224.0982120186
96002,3, 3382, -229765.73706567287
96502,3, 3392, -352557.99664494395
97002,3, 3392, -153116.58037349582
97502,3, 3392, -137762.3217973411
98002,3, 3392, -147320.07951956987
98502,3, 3392, -154006.46117305756
99002,3, 3392, -167211.8814279735
99502,3, 3392, -157162.0370079577
100002,3, 3392, -174117.60032907128
100502,3, 3394, -210641.57303103805
101002,3, 3394, -170185.44780406356
101502,3, 3394, -150201.9742373526
102002,3, 3394, -156969.21734030545
102502,3, 3394, -169776.19790685177
103002,3, 3394, -146144.61110386252
103502,3, 3394, -203677.48853762448
104002,3, 3394, -170614.76152658463
104502,3, 3394, -172884.83818656206
105002,3, 3400, -270047.9009680301
105502,3, 3400, -152165.60251879692
106002,3, 3400, -127480.68024739623
106502,3, 3400, -152870.22777418792
107002,3, 3408, -306469.41700060666
107502,3, 3408, -147149.3758634813
108002,3, 3417, -329552.9076668918
108502,3, 3423, -301781.6133347899
109002,3, 3423, -145067.96739934385
109502,3, 3425, -168432.21975035965
110002,3, 3425, -149381.53050526977
110502,3, 3434, -353110.2267037034
111002,3, 3434, -147399.02961403131
111502,3, 3434, -145187.4616034478
112002,3, 3436, -178255.26603733748
112502,3, 3436, -129628.05319658667
113002,3, 3436, -131798.06559953094
113502,3, 3436, -133729.6362010464
114002,3, 3437, -147208.83611005545
114502,3, 3437, -136753.2590816021
115002,3, 3443, -261900.1973491311
115502,3, 3443, -128268.15180951357
116002,3, 3451, -309748.17771264166
116502,3, 3462, -371550.71142371
117002,3, 3462, -120997.59046795964
117502,3, 3462, -136698.78902235627
118002,3, 3477, -458606.9353480637
118502,3, 3484, -286462.4831199646
119002,3, 3484, -130871.26301182061
119502,3, 3484, -138180.07810601592
120002,3, 3486, -191046.20703928173
120502,3, 3486, -162992.5238623619
121002,3, 3486, -144818.81297290325
121502,3, 3490, -228906.95806202292
122002,3, 3515, -646026.0157159865
122502,3, 3520, -247889.23175480962
123002,3, 3529, -321977.7240269035
123502,3, 3539, -354828.72892557457
124002,4, 3542, -193017.20566982776
124502,4, 3547, -227116.8799275458
125002,4, 3559, -360514.47739494964
125502,4, 3582, -625221.3912881315
126002,4, 3582, -153707.30926018953
126502,4, 3585, -192542.04732292145
127002,4, 3585, -117738.63059969991
127502,4, 3587, -154856.40107708797
128002,4, 3587, -125464.71079855412
128502,5, 3588, -146095.41520418227
129002,5, 3588, -112396.74229587615
129502,5, 3588, -118755.66582098603
130002,5, 3592, -202796.5022938028
130502,5, 3603, -351696.07741096616
131002,5, 3605, -149206.83006146643
131502,5, 3605, -121775.32582060993
132002,6, 3605, -105192.99009887967
132502,6, 3605, -129476.97460211441
133002,6, 3606, -156794.34898789227
133502,6, 3606, -123252.52976498287
134002,6, 3607, -128666.91922122426
134502,6, 3607, -102465.33651708253
135002,6, 3607, -115463.73862602375
135502,7, 3607, -107866.05484908074
136002,8, 3607, -108772.5558706075
136502,8, 3607, -103228.55796982348
137002,8, 3607, -116323.46925711259
137502,8, 3609, -157799.44781736284
138002,8, 3609, -111905.18153803796
138502,9, 3609, -116211.20808663964
139002,9, 3609, -104680.00564795546
139502,9, 3609, -116489.95631676912
140002,9, 3609, -117951.59321592376
140502,9, 3610, -128715.8145886889
141002,10, 3610, -117988.79999548942
141502,11, 3618, -295028.90692456067
142002,11, 3654, -881845.8616410494
142502,11, 3654, -120131.82879939675
143002,11, 3657, -180543.4420902878
143502,11, 3657, -120318.77385634184
144002,14, 3657, -118602.48702598736
144502,15, 3657, -133910.32042823127
145002,15, 3657, -126784.16412197053
145502,16, 3657, -119329.5875517577
146002,16, 3662, -223716.28628133237
146502,18, 3663, -136105.94321283698
147002,18, 3663, -114557.35973793268
147502,19, 3673, -341974.5732214004
148002,19, 3675, -157787.6324431463
148502,19, 3686, -353509.4699678719
149002,20, 3686, -117521.2716294229
149502,20, 3686, -121585.63216598332
150002,21, 3698, -367355.72378590703
150502,21, 3702, -226136.1323173456
151002,21, 3705, -184678.12712495774
151502,21, 3705, -109517.3191074878
152002,21, 3707, -153832.84485774115
152502,21, 3709, -146713.57759296708
153002,21, 3709, -110164.80707963184
153502,21, 3709, -121231.19354897179
154002,21, 3716, -276873.44739867747
154502,21, 3720, -233031.85534134507
155002,22, 3736, -465772.2840874195
155502,22, 3736, -119040.25600023195
156002,22, 3736, -111289.26319957525
156502,23, 3736, -117899.72622271255
157002,23, 3739, -166888.06943351775
157502,23, 3744, -210442.83434140403
158002,24, 3744, -120378.40388089418
158502,24, 3744, -114003.00411447883
159002,26, 3744, -111669.66741834395
159502,27, 3744, -111796.8298069723
160002,27, 3744, -111523.42508179694
160502,27, 3744, -106886.43733523786
161002,27, 3744, -119167.17650273815
161502,27, 3761, -509881.0334546268
162002,28, 3761, -112425.2513644793
162502,29, 3761, -117598.82957921084
163002,29, 3763, -157676.56382118422
163502,30, 3772, -303941.2685890421
164002,30, 3772, -114217.88046320528
164502,30, 3776, -200466.54080961645
165002,30, 3776, -122336.14125137031
